z_low,z_high,z_med,z_p25,z_p75,fbar_raw,fbar_raw_ll,fbar_raw_ul,fbar_fd,fbar_fd_ll,fbar_fd_ul,fbar_zcorr,fbar_zcorr_ll,fbar_zcorr_ul,fbar_fd_zcorr,fbar_fd_zcorr_ll,fbar_fd_zcorr_ul,sample_size,n_bars,n_strong_bars,n_weak_bars,fd_corr_factor,z_corr_factor,tot_corr_factor
0.5,1.0,0.768,0.722,0.871435,0.3880597014925373,0.05515799840797503,0.06164247069590495,0.22741636644364385,0.04466386516066087,0.059310232199421276,0.4218040233614536,0.04466386516066087,0.059310232199421276,0.2471917026561346,0.04466386516066087,0.059310232199421276,67,26,4,22,0.5860344827586207,1.0869565217391304,0.6369940029985007
1.0,1.5,1.22635,1.1593749999999998,1.3373599999999999,0.26744186046511625,0.041840691389207485,0.05239779630483071,0.1567301523656776,0.036564545489231215,0.049901730670890654,0.3518971848225214,0.036564545489231215,0.049901730670890654,0.20622388469168107,0.036564545489231215,0.049901730670890654,86,23,5,18,0.5860344827586207,1.3157894736842106,0.7710980036297641
1.5,2.0,1.779,1.616,1.883,0.20388349514563106,0.033736420357140584,0.044998902845325595,0.11948275862068965,0.030605177341052836,0.04313090073792808,0.2912621359223301,0.030605177341052836,0.04313090073792808,0.17068965517241377,0.030605177341052836,0.04313090073792808,103,21,4,17,0.5860344827586207,1.4285714285714286,0.837192118226601
2.0,2.5,2.232,2.15,2.3295,0.1746031746031746,0.037519454798282864,0.05753819598662577,0.094017094017094,0.03609432442616364,0.056770593666382374,0.30443630443630443,0.03609432442616364,0.056770593666382374,0.16392724085031776,0.03609432442616364,0.056770593666382374,63,11,3,8,0.5384615384615384,1.7435897435897436,0.9388560157790927
2.5,3.0,2.7175000000000002,2.6260000000000003,2.8485,0.08695652173913043,0.025569085960280215,0.06004205119986794,0.04103802051901026,0.02283190209517954,0.05827390926874633,0.15981198589894244,0.02283190209517954,0.05827390926874633,0.07542122689980264,0.02283190209517954,0.05827390926874633,46,4,1,3,0.471937235968618,1.837837837837838,0.8673441093477304
3.0,4.0,3.44,3.206,3.76,0.06060606060606061,0.019839145760136456,0.07024756921038189,0.01725703905540418,0.009823113869880329,0.06360537816143187,0.11138411138411139,0.009823113869880329,0.06360537816143187,0.031715639345067145,0.009823113869880329,0.06360537816143187,33,2,0,2,0.284741144414169,1.837837837837838,0.5233080491936078
