gzceers_id,candels_id,ra,dec,z_candels,bar_type,vollim_flag
88115780,30873,214.820476,52.87448,2.2918,No,True
88109532,21986,214.904781,52.899592,2.2928,No,True
88116845,13776,214.89872,52.852445,2.2971,No,True
88116365,11764,214.901311,52.844194,2.3022,No,False
88113686,24328,214.849446,52.873055,2.304,No,True
88113664,24268,214.850981,52.873491,2.3119,No,True
88108646,21768,215.046009,52.997775,2.316,No,True
88112209,29596,214.858649,52.910675,2.317,Strong,True
88106058,30394,214.983034,53.002424,2.323,No,True
88106400,28864,215.010244,53.015138,2.336,No,True
88107784,24050,214.970966,52.957352,2.35348,No,True
88109814,23169,214.863603,52.87678,2.356,Weak,True
88118733,15652,214.81929,52.807098,2.356,No,True
88107787,24194,214.970966,52.95765,2.3655,No,True
88109420,21428,214.881078,52.880809,2.367,No,True
88113936,25539,214.78655,52.83421,2.367,No,True
88111702,31181,214.877117,52.912816,2.372,No,True
88106899,27564,214.936851,52.951744,2.3749,No,True
88108091,23031,214.98091,52.959951,2.382,No,True
88112382,28663,214.829288,52.894014,2.44,No,False
88113360,22927,214.847554,52.863955,2.444,No,True
88116242,11218,214.852861,52.808029,2.447,No,True
88109266,20778,214.901442,52.892195,2.452,No,False
88112247,29317,214.903534,52.943706,2.471,No,False
88116958,13932,214.873202,52.836359,2.479,No,True
88113275,22656,214.808534,52.834267,2.481,No,True
88116896,13714,214.890074,52.847437,2.487,No,True
88115365,29106,214.775319,52.856019,2.487,No,True
88108570,21736,215.039994,52.995072,2.511,No,True
88112569,29144,214.900371,52.943033,2.513,No,True
88107976,23342,214.986857,52.965691,2.533,No,True
88107613,24649,215.033878,53.004951,2.537,No,True
88110138,24174,214.884431,52.897337,2.558,Weak,True
88107438,25325,214.994725,52.980963,2.559,Weak,True
88107270,25800,214.947691,52.950621,2.569,No,True
88115056,29770,214.777629,52.850782,2.571,No,True
88110383,25413,214.853867,52.880618,2.578,No,False
88108650,21510,215.046684,52.997726,2.582,No,True
88108225,22549,215.025038,52.98896,2.584,No,False
88113257,22457,214.78309,52.815912,2.587,No,True
88107473,25064,215.02663,53.003074,2.593,No,False
88106978,27216,214.951872,52.960497,2.6,No,True
88115362,28429,214.793793,52.868967,2.623,No,True
88108708,21497,215.021712,52.979303,2.635,No,True
88117053,14264,214.83583,52.811969,2.635,No,True
88115183,28997,214.801729,52.870758,2.638,No,True
88114019,25875,214.795921,52.843281,2.642,No,True
88111686,31362,214.92457,52.94623,2.655,No,True
88115613,29131,214.763395,52.847763,2.659,No,True
88115618,29504,214.743736,52.836814,2.66,No,True
88111531,27208,214.903272,52.926732,2.676,No,True
88112292,28647,214.836029,52.896602,2.696,No,True
88106883,27572,214.989455,52.988358,2.701,No,True
88108405,22164,214.978635,52.953971,2.708,No,True
88109535,21871,214.905059,52.900006,2.727,No,True
88118585,18694,214.855401,52.848829,2.73,No,True
88108558,22082,214.966095,52.942763,2.751,No,True
88112115,30004,214.91141,52.945618,2.758,No,True
88112506,26188,214.904969,52.922465,2.768,No,True
88106462,29579,214.936932,52.961684,2.769,No,True
88106984,27094,214.988314,52.986121,2.778,No,True
88105790,21003,215.027289,52.981821,2.783,No,True
88110149,24189,214.890414,52.901552,2.784,No,True
88106845,27795,215.013487,53.007199,2.804,No,True
88106815,31599,214.992966,52.993626,2.817,No,True
88114525,31190,214.782238,52.846811,2.859,No,True
88117727,17648,214.837304,52.830387,2.859,No,True
88113296,22729,214.777395,52.81263,2.864,No,True
88106572,30390,215.005235,53.007825,2.893,No,True
88110407,25373,214.928633,52.93504,2.928,Weak,True
88108837,20920,215.024434,52.979197,2.934,No,True
88114578,31775,214.802986,52.862226,2.95,No,True
88107101,26504,215.0177,53.004146,2.954,No,True
88113943,25490,214.791513,52.838057,2.968,No,True
88110236,24528,214.930936,52.932553,2.979,Strong,False
88115219,28891,214.800365,52.870904,2.981,No,True
88110323,25104,214.88721,52.903245,2.99,Strong,True
88116900,13638,214.821801,52.798923,2.996,No,True
88110136,24108,214.922761,52.924624,3.046,Weak,False
88105726,27595,214.988715,52.988613,3.087,No,True
88117537,16688,214.835386,52.824324,3.089,No,True
88118224,19741,214.81952,52.828288,3.0952,No,True
88112230,29400,214.904689,52.944162,3.115,No,False
88115186,29279,214.770143,52.848214,3.125,Weak,True
88113027,21378,214.853886,52.861307,3.164,No,True
88109987,23533,214.897316,52.902961,3.169,No,True
88116504,12205,214.828756,52.795868,3.189,No,True
88107693,24322,214.972376,52.960603,3.194,No,True
88109388,21296,214.901428,52.894096,3.206,No,True
88118058,18875,214.873604,52.863033,3.267,No,False
88106476,30172,214.97992,52.991951,3.285,No,True
88115737,26320,214.831678,52.871413,3.289,No,True
88112019,30099,214.861497,52.908541,3.365,No,True
88113267,22456,214.856285,52.86804,3.389,No,True
88112026,30273,214.838102,52.891925,3.402,No,True
88115740,26312,214.823964,52.865893,3.418,No,True
88116339,11592,214.888647,52.835172,3.4375,No,True
88110096,23926,214.890776,52.900906,3.44,No,True
88118017,18676,214.858392,52.85129,3.442,No,True
88108684,21363,214.977042,52.948375,3.486,No,True
88116581,12511,214.900435,52.848833,3.526,No,False
88106663,40502,214.996132,52.999106,3.547,No,False
88106944,27249,214.964574,52.970132,3.564,No,True
88106998,26968,215.006362,52.998704,3.597,No,True
88113113,21839,214.851797,52.862021,3.645,No,True
88114979,29951,214.753383,52.832358,3.656,No,True
88114803,30372,214.825794,52.88009,3.745,No,True
88116719,12965,214.895861,52.847559,3.76,Weak,True
88116987,13892,214.880591,52.842142,3.761,No,True
88117472,16339,214.812626,52.805217,3.777,No,True
88111973,30409,214.853175,52.90161,3.809,No,True
88113826,24988,214.771011,52.820887,3.861,No,True
88111688,27920,214.854902,52.896853,3.9,No,True
88116471,12039,214.861686,52.818438,3.915,No,True
88111516,27179,214.881077,52.910517,3.916,No,True
88107448,25147,214.955888,52.953409,3.992,No,True
88111411,26723,214.870095,52.900751,4.013,No,False
88115294,40843,214.771907,52.852309,4.047,No,False
88112454,22246,214.943908,52.929721,4.526,No,False
88115714,25270,214.833519,52.867079,5.026,No,False
88111577,27474,214.918888,52.939157,5.027,No,False
88118600,19696,214.855811,52.854654,5.167,No,False
88111898,30542,214.913803,52.943024,5.18,No,False
88113483,23395,214.807043,52.838183,5.538,No,False
88107808,23825,214.985668,52.967575,5.789,No,False
88117929,18384,214.864418,52.853659,6.132,No,False
88118398,20341,214.859812,52.860614,6.772,No,False
